"","Parcel.Number","APN","Date.Sold","KIVA.PIN","Address.Number","Street","Street.Type","Combined.Full.Address","City","State","Longitude","Latitude","Land.Bank"
"1","K2011-01002","12740120800000000",2012-08-01,39932,"213","BROOKLYN","AVE","213   BROOKLYN AVE","Kansas City","Missouri",-94.55527932,39.11177973,"Yes"
"2","K2011-01010","13430101100000000",2012-08-01,38730,"2610","NICHOLSON","AVE","2610   NICHOLSON AVE","Kansas City","Missouri",-94.54959952,39.12455293,"Yes"
"3","K2011-01015","13430202600000000",2012-08-01,38785,"735","PROSPECT","AVE","735  N PROSPECT AVE","Kansas City","Missouri",-94.54989833,39.12199581,"Yes"
"4","K2011-01018","13720051200000000",2012-08-01,45544,"510","WHITE","AVE","510  N WHITE AVE","Kansas City","Missouri",-94.51173937,39.11810952,"Yes"
"5","K2011-01021","13720171100000000",2012-08-01,45674,"327","WHITE","AVE","327  N WHITE AVE","Kansas City","Missouri",-94.51125692,39.1149713,"Yes"
"6","K2011-01023","13720230600000000",2012-08-01,45850,"217","WHEELING","AVE","217  N WHEELING AVE","Kansas City","Missouri",-94.51018193,39.11352972,"Yes"
"7","K2011-01024","13730020500000000",2012-08-01,45911,"107","WHEELING","AVE","107   WHEELING AVE","Kansas City","Missouri",-94.51046673,39.11184605,"Yes"
"8","K2011-01025","13730020600000000",2012-08-01,45912,"109","WHEELING","AVE","109   WHEELING AVE","Kansas City","Missouri",-94.51029494,39.11169115,"Yes"
"9","K2011-01033","13730120800000000",2012-08-01,46251,"425","WHITE","AVE","425   WHITE AVE","Kansas City","Missouri",-94.51139449,39.10779508,"Yes"
"10","K2011-01064","13830222100000000",2012-08-01,44419,"432","CYPRESS","AVE","432   CYPRESS AVE","Kansas City","Missouri",-94.52978441,39.10766152,"Yes"
"11","K2011-01067","13830241100000000",2012-08-01,44438,"437","JACKSON","AVE","437   JACKSON AVE","Kansas City","Missouri",-94.53259859,39.10795135,"Yes"
"12","K2011-01072","13840014202000000",2012-08-01,44904,"110","TOPPING","AVE","110   TOPPING AVE","Kansas City","Missouri",-94.51422099,39.11195921,"Yes"
"13","K2011-01078","13840152900000000",2012-08-01,45248,"422","LAWNDALE","AVE","422   LAWNDALE AVE","Kansas City","Missouri",-94.5157774,39.10785207,"Yes"
"14","K2011-01085","13840272800000000",2012-08-01,45320,"514","OAKLEY","AVE","514   OAKLEY AVE","Kansas City","Missouri",-94.51705545,39.10637376,"Yes"
"15","K2011-01087","13840280200000000",2012-08-01,45366,"501","OAKLEY","AVE","501   OAKLEY AVE","Kansas City","Missouri",-94.51633582,39.10684479,"Yes"
"16","K2011-01094","13920221000000000",2012-08-01,40793,"101","GLADSTONE","BLVD","101  N GLADSTONE BLVD","Kansas City","Missouri",-94.54366853,39.11350558,"Yes"
"17","K2011-01099","13930220100000000",2012-08-01,41207,"3237","GARNER","AVE","3237   GARNER AVE","Kansas City","Missouri",-94.54232571,39.10847851,"Yes"
"18","K2011-01100","13930220200000000",2012-08-01,41208,"3235","GARNER","AVE","3235   GARNER AVE","Kansas City","Missouri",-94.54243433,39.10848195,"Yes"
"19","K2011-01108","13930265000000000",2012-08-01,41148,"2620","AMIE","CT","2620   AMIE CT","Kansas City","Missouri",-94.55005191,39.1086442,"Yes"
"20","K2011-01109","13930265800000000",2012-08-01,41155,"2627","AMIE","CT","2627   AMIE CT","Kansas City","Missouri",-94.54998176,39.10823898,"Yes"
"21","K2011-01110","13930261000000000",2012-08-01,41009,"437","PROSPECT","BLVD","437   PROSPECT BLVD","Kansas City","Missouri",-94.5503832,39.10879614,"Yes"
"22","K2011-01112","13930291500000000",2012-08-01,41189,"501","BENTON","BLVD","501   BENTON BLVD","Kansas City","Missouri",-94.54420261,39.10764094,"Yes"
"23","K2011-01117","13940031900000000",2012-08-01,41642,"108","ASKEW","AVE","108   ASKEW AVE","Kansas City","Missouri",-94.53891805,39.11248983,"Yes"
"24","K2011-01127","13940191800000000",2012-08-01,42294,"442","JACKSON","AVE","442   JACKSON AVE","Kansas City","Missouri",-94.53327685,39.1076877,"Yes"
"25","K2011-01132","13940262200000000",2012-08-01,42024,"430","ASKEW","AVE","430   ASKEW AVE","Kansas City","Missouri",-94.53922618,39.10824172,"Yes"
"26","K2011-01133","13940281600000000",2012-08-01,42195,"3705","GARNER","AVE","3705   GARNER AVE","Kansas City","Missouri",-94.53722956,39.10829332,"Yes"
"27","K2011-01134","13940300400000000",2012-08-01,42285,"507","NORTON","AVE","507   NORTON AVE","Kansas City","Missouri",-94.53380315,39.10716486,"Yes"
"28","K2011-01150","14940250900000000",2012-08-01,47025,"8607","ROBERTS","ST","8607   ROBERTS ST","Kansas City","Missouri",-94.48167713,39.10448208,"Yes"
"29","K2011-01151","14940272200000000",2012-08-01,46860,"512","WALLACE","AVE","512   WALLACE AVE","Kansas City","Missouri",-94.48367023,39.10503069,"Yes"
"30","K2011-01153","14940280300000000",2012-08-01,46854,"540","DONNELLY","AVE","540   DONNELLY AVE","Kansas City","Missouri",-94.48484397,39.1040683,"Yes"
"31","K2011-01155","27310022200000000",2012-08-01,47105,"8804","8TH","ST","8804  E 8TH ST","Kansas City","Missouri",-94.47890543,39.1008502,"Yes"
"32","K2011-01158","27310033000000000",2012-08-01,47177,"805","DITMAN","AVE","805   DITMAN AVE","Kansas City","Missouri",-94.48051055,39.10036109,"Yes"
"33","K2011-01161","27310041900000000",2012-08-01,47237,"714","UTLEY","AVE","714   UTLEY AVE","Kansas City","Missouri",-94.4829371,39.10071921,"Yes"
"34","K2011-01162","27310042300000000",2012-08-01,47233,"706","UTLEY","AVE","706   UTLEY AVE","Kansas City","Missouri",-94.48291395,39.10121219,"Yes"
"35","K2011-01163","27310042900000000",2012-08-01,47127,"707","UTLEY","AVE","707   UTLEY AVE","Kansas City","Missouri",-94.4822879,39.10118641,"Yes"
"36","K2011-01165","27310043300000000",2012-08-01,47122,"801","UTLEY","AVE","801   UTLEY AVE","Kansas City","Missouri",-94.48234781,39.10063685,"Yes"
"37","K2011-01166","27310045200000000",2012-08-01,47079,"714","DITMAN","AVE","714   DITMAN AVE","Kansas City","Missouri",-94.48144837,39.10111914,"Yes"
"38","K2011-01178","28110081800000000",2012-08-01,5124,"708","WINCHESTER","AVE","708   WINCHESTER AVE","Kansas City","Missouri",-94.50090637,39.10300116,"Yes"
"39","K2011-01182","28110116700000000",2012-08-01,5141,"802","CAMBRIDGE","AVE","802   CAMBRIDGE AVE","Kansas City","Missouri",-94.50207711,39.10214122,"Yes"
"40","K2011-01183","28110117100000000",2012-08-01,5106,"720","CAMBRIDGE","AVE","720   CAMBRIDGE AVE","Kansas City","Missouri",-94.50205566,39.10266292,"Yes"
"41","K2011-01188","28110118900000000",2012-08-01,5173,"820","CAMBRIDGE","AVE","820   CAMBRIDGE AVE","Kansas City","Missouri",-94.50209503,39.10144084,"Yes"
"42","K2011-01189","28110119000000000",2012-08-01,5143,"806","CAMBRIDGE","AVE","806   CAMBRIDGE AVE","Kansas City","Missouri",-94.50209259,39.10177309,"Yes"
"43","K2011-01191","28110160900000000",2012-08-01,5270,"925","CAMBRIDGE","AVE","925   CAMBRIDGE AVE","Kansas City","Missouri",-94.5015364,39.09989099,"Yes"
"44","K2011-01192","28110162400000000",2012-08-01,5262,"900","WINCHESTER","AVE","900   WINCHESTER AVE","Kansas City","Missouri",-94.50099386,39.10067808,"Yes"
"45","K2011-01195","28120132000000000",2012-08-01,5538,"6204","8TH","ST","6204  E 8TH ST","Kansas City","Missouri",-94.50905292,39.10262436,"Yes"
"46","K2011-01198","28120161700000000",2012-08-01,5426,"726","BENNINGTON","AVE","726   BENNINGTON AVE","Kansas City","Missouri",-94.50541327,39.10250191,"Yes"
"47","K2011-01207","28120341600000000",2012-08-01,5962,"1024","FULLER","AVE","1024   FULLER AVE","Kansas City","Missouri",-94.50677956,39.09881397,"Yes"
"48","K2011-01217","28130070900000000",2012-08-01,6107,"6215","12TH","TER","6215  E 12TH TER","Kansas City","Missouri",-94.50924383,39.09630899,"Yes"
"49","K2011-01221","28130102800000000",2012-08-01,6216,"1314","FREMONT","AVE","1314   FREMONT AVE","Kansas City","Missouri",-94.50807675,39.09509047,"Yes"
"50","K2011-01229","28130270700000000",2012-08-01,6598,"6023","16TH","ST","6023  E 16TH ST","Kansas City","Missouri",-94.5115308,39.09182689,"Yes"
"51","K2011-01230","28130271000000000",2012-08-01,6549,"6005","16TH","ST","6005  E 16TH ST","Kansas City","Missouri",-94.51227971,39.09188916,"Yes"
"52","K2011-01232","28130281200000000",2012-08-01,6512,"5811","16TH","ST","5811  E 16TH ST","Kansas City","Missouri",-94.51415772,39.09189785,"Yes"
"53","K2011-01239","28140073500000000",2012-08-01,7009,"1240","WINCHESTER","AVE","1240   WINCHESTER AVE","Kansas City","Missouri",-94.50123863,39.09562812,"Yes"
"54","K2011-01246","28140091200000000",2012-08-01,6883,"1229","WINCHESTER","AVE","1229   WINCHESTER AVE","Kansas City","Missouri",-94.50060421,39.0959755,"Yes"
"55","K2011-01255","28140181400000000",2012-08-01,7278,"1527","WINCHESTER","AVE","1527   WINCHESTER AVE","Kansas City","Missouri",-94.5007968,39.09242201,"Yes"
"56","K2011-01256","28140182900000000",2012-08-01,7281,"1518","BRISTOL","AVE","1518   BRISTOL AVE","Kansas City","Missouri",-94.50025924,39.09286956,"Yes"
"57","K2011-01270","28220011800000000",2012-08-01,7844,"4822","6TH","ST","4822  E 6TH ST","Kansas City","Missouri",-94.52455373,39.10471905,"Yes"
"58","K2011-01271","28220011900000000",2012-08-01,7845,"4824","6TH","ST","4824  E 6TH ST","Kansas City","Missouri",-94.52446567,39.10471609,"Yes"
"59","K2011-01278","28220171600000000",2012-08-01,8199,"4416","9TH","ST","4416  E 9TH ST","Kansas City","Missouri",-94.52965454,39.10211589,"Yes"
"60","K2011-01281","28220180800000000",2012-08-01,8167,"815","SPRUCE","AVE","815   SPRUCE AVE","Kansas City","Missouri",-94.53134205,39.10240821,"Yes"
"61","K2011-01296","28230091100000000",2012-08-01,8732,"1537","LISTER","AVE","1537   LISTER AVE","Kansas City","Missouri",-94.52647776,39.09286983,"Yes"
"62","K2011-01298","28230110700000000",2012-08-01,8858,"1523","ELMWOOD","AVE","1523   ELMWOOD AVE","Kansas City","Missouri",-94.5286212,39.09316545,"Yes"
"63","K2011-01303","28230170900000000",2012-08-01,8552,"1623","SPRUCE","AVE","1623   SPRUCE AVE","Kansas City","Missouri",-94.53193414,39.0918513,"Yes"
"64","K2011-01307","28230190700000000",2012-08-01,8631,"1617","CYPRESS","AVE","1617   CYPRESS AVE","Kansas City","Missouri",-94.52974741,39.09187075,"Yes"
"65","K2011-01308","28230202200000000",2012-08-01,8881,"1634","LAWN","AVE","1634   LAWN AVE","Kansas City","Missouri",-94.52823817,39.09118015,"Yes"
"66","K2011-01321","28240203100000000",2012-08-01,9294,"1606","OAKLEY","AVE","1606   OAKLEY AVE","Kansas City","Missouri",-94.51746848,39.09238984,"Yes"
"67","K2011-01325","28310032200000000",2012-08-01,9533,"610","MYRTLE","AVE","610   MYRTLE AVE","Kansas City","Missouri",-94.53560312,39.10527923,"Yes"
"68","K2011-01331","28310162300000000",2012-08-01,9773,"804","BALES","CT","804   BALES CT","Kansas City","Missouri",-94.54006639,39.1028355,"Yes"
"69","K2011-01333","28310203000000000",2012-08-01,9598,"4101","8TH","ST","4101  E 8TH ST","Kansas City","Missouri",-94.53418386,39.10270623,"Yes"
"70","K2011-01366","28340071000000000",2012-08-01,11444,"1223","INDIANA","AVE","1223   INDIANA AVE","Kansas City","Missouri",-94.54191245,39.09770052,"Yes"
"71","K2011-01370","28340101500000000",2012-08-01,11409,"1332","MONROE","AVE","1332   MONROE AVE","Kansas City","Missouri",-94.53920597,39.09585294,"Yes"
"72","K2011-01372","28340111500000000",2012-08-01,11423,"1331","MONROE","AVE","1331   MONROE AVE","Kansas City","Missouri",-94.53855232,39.09580798,"Yes"
"73","K2011-01381","28410230500000000",2012-08-01,15113,"2103","MONROE","AVE","2103   MONROE AVE","Kansas City","Missouri",-94.53906268,39.08606363,"Yes"
"74","K2011-01387","28420161400000000",2012-08-01,15260,"3122","19TH","TER","3122  E 19TH TER","Kansas City","Missouri",-94.54473161,39.08909828,"Yes"
"75","K2011-01389","28420181300000000",2012-08-01,15413,"1845","KANSAS","AVE","1845   KANSAS AVE","Kansas City","Missouri",-94.54810071,39.08892766,"Yes"
"76","K2011-01390","28420181400000000",2012-08-01,15414,"1847","KANSAS","AVE","1847   KANSAS AVE","Kansas City","Missouri",-94.54810484,39.08885927,"Yes"
"77","K2011-01391","28420181500000000",2012-08-01,15415,"1903","KANSAS","AVE","1903   KANSAS AVE","Kansas City","Missouri",-94.548109,39.08879086,"Yes"
"78","K2011-01393","28420182300000000",2012-08-01,15486,"1919","KANSAS","AVE","1919   KANSAS AVE","Kansas City","Missouri",-94.54813477,39.08816286,"Yes"
"79","K2011-01395","28420184600000000",2012-08-01,15656,"2028","AGNES","AVE","2028   AGNES AVE","Kansas City","Missouri",-94.54767828,39.08703209,"Yes"
"80","K2011-01396","28420186600000000",2012-08-01,15422,"1846","AGNES","AVE","1846   AGNES AVE","Kansas City","Missouri",-94.54757474,39.08897799,"Yes"
"81","K2011-01397","28420187200000000",2012-08-01,15428,"1824","AGNES","AVE","1824   AGNES AVE","Kansas City","Missouri",-94.54753037,39.0897315,"Yes"
"82","K2011-01400","28420192600000000",2012-08-01,15517,"2019","BENTON","BLVD","2019   BENTON BLVD","Kansas City","Missouri",-94.54928284,39.08727528,"Yes"
"83","K2011-01401","28420192700000000",2012-08-01,15518,"2021","BENTON","BLVD","2021   BENTON BLVD","Kansas City","Missouri",-94.54929016,39.08715451,"Yes"
"84","K2011-01402","28420193000000000",2012-08-01,15693,"2820","21ST","ST","2820  E 21ST ST","Kansas City","Missouri",-94.54894143,39.0868064,"Yes"
"85","K2011-01403","28420193900000000",2012-08-01,15608,"2014","KANSAS","AVE","2014   KANSAS AVE","Kansas City","Missouri",-94.54880173,39.08754314,"Yes"
"86","K2011-01404","28420194600000000",2012-08-01,15369,"1918","KANSAS","AVE","1918   KANSAS AVE","Kansas City","Missouri",-94.54878207,39.08817724,"Yes"
"87","K2011-01407","28420202700000000",2012-08-01,15667,"2030","BENTON","BLVD","2030   BENTON BLVD","Kansas City","Missouri",-94.55012409,39.08682181,"Yes"
"88","K2011-01408","28420203400000000",2012-08-01,15662,"2006","BENTON","BLVD","2006   BENTON BLVD","Kansas City","Missouri",-94.55004451,39.08764117,"Yes"
"89","K2011-01413","28420222200000000",2012-08-01,15229,"3032","20TH","ST","3032  E 20TH ST","Kansas City","Missouri",-94.54576104,39.08827862,"Yes"
"90","K2011-01414","28420253100000000",2012-08-01,15723,"2023","COLLEGE","AVE","2023   COLLEGE AVE","Kansas City","Missouri",-94.54418415,39.08714764,"Yes"
"91","K2011-01416","28420260800000000",2012-08-01,15851,"3206","20TH","TER","3206  E 20TH TER","Kansas City","Missouri",-94.54529162,39.08747092,"Yes"
"92","K2011-01417","28420260900000000",2012-08-01,15850,"3208","20TH","TER","3208  E 20TH TER","Kansas City","Missouri",-94.54516818,39.08746737,"Yes"
"93","K2011-01418","28420272100000000",2012-08-01,15836,"3022","20TH","TER","3022  E 20TH TER","Kansas City","Missouri",-94.54624244,39.08750185,"Yes"
"94","K2011-01419","28420272300000000",2012-08-01,15834,"3030","20TH","TER","3030 A E 20TH TER","Kansas City","Missouri",-94.5460015,39.08749399,"Yes"
"95","K2011-01420","28420272400000000",2012-08-01,15833,"3030","20TH","TER","3030  E 20TH TER","Kansas City","Missouri",-94.54588401,39.08749016,"Yes"
"96","K2011-01421","28420272500000000",2012-08-01,15832,"3032","20TH","TER","3032  E 20TH TER","Kansas City","Missouri",-94.54576731,39.08748635,"Yes"
"97","K2011-01422","28420230600000000",2012-08-01,15269,"3107","19TH","TER","3107  E 19TH TER","Kansas City","Missouri",-94.54518795,39.08863897,"Yes"
"98","K2011-01426","28420370500000000",2012-08-01,15639,"2109","PROSPECT","AVE","2109   PROSPECT AVE","Kansas City","Missouri",-94.55170361,39.08630861,"Yes"
"99","K2011-01427","28420381500000000",2012-08-01,15648,"2210","MONTGALL","AVE","2210   MONTGALL AVE","Kansas City","Missouri",-94.55127745,39.08505835,"Yes"
"100","K2011-01428","28420390200000000",2012-08-01,15569,"2711","22ND","ST","2711  E 22ND ST","Kansas City","Missouri",-94.55041992,39.08532182,"Yes"
"101","K2011-01429","28420390800000000",2012-08-01,15550,"2217","MONTGALL","AVE","2217   MONTGALL AVE","Kansas City","Missouri",-94.55064927,39.08483206,"Yes"
"102","K2011-01430","28420390900000000",2012-08-01,15552,"2219","MONTGALL","AVE","2219   MONTGALL AVE","Kansas City","Missouri",-94.55065396,39.08474174,"Yes"
"103","K2011-01434","28420440100000000",2012-08-01,15734,"2200","INDIANA","AVE","2200   INDIANA AVE","Kansas City","Missouri",-94.54319936,39.08523733,"Yes"
"104","K2011-01436","28430012000000000",2012-08-01,15961,"3314","24TH","ST","3314  E 24TH ST","Kansas City","Missouri",-94.5435832,39.08306035,"Yes"
"105","K2011-01443","28430060600000000",2012-08-01,16283,"2321","CHESTNUT","AVE","2321   CHESTNUT AVE","Kansas City","Missouri",-94.54956597,39.08359951,"Yes"
"106","K2011-01446","28430092200000000",2012-08-01,16319,"2418","MONTGALL","AVE","2418   MONTGALL AVE","Kansas City","Missouri",-94.55140016,39.08228516,"Yes"
"107","K2011-01451","28430151800000000",2012-08-01,16028,"3206","24TH","TER","3206  E 24TH TER","Kansas City","Missouri",-94.54526379,39.08178348,"Yes"
"108","K2011-01452","28430151900000000",2012-08-01,16029,"3208","24TH","TER","3208  E 24TH TER","Kansas City","Missouri",-94.54515417,39.0817798,"Yes"
"109","K2011-01455","28430172001000000",2012-08-01,240398,"3303","24TH","TER","3303  E 24TH TER","Kansas City","Missouri",-94.54414043,39.08154618,"Yes"
"110","K2011-01456","28430172002000000",2012-08-01,240399,"3301","24TH","TER","3301  E 24TH TER","Kansas City","Missouri",-94.54425399,39.08154941,"Yes"
"111","K2011-01457","28430180100000000",2012-08-01,16095,"2456","INDIANA","AVE","2456   INDIANA AVE","Kansas City","Missouri",-94.5433763,39.08093617,"Yes"
"112","K2011-01461","28430260700000000",2012-08-01,16549,"2511","PROSPECT","AVE","2511   PROSPECT AVE","Kansas City","Missouri",-94.55198807,39.08020047,"Yes"
"113","K2011-01464","28430261800000000",2012-08-01,16410,"2612","26TH","ST","2612  E 26TH ST","Kansas City","Missouri",-94.55166949,39.0790875,"Yes"
"114","K2011-01465","28430261900000000",2012-08-01,16409,"2614","26TH","ST","2614  E 26TH ST","Kansas City","Missouri",-94.55144817,39.07908002,"Yes"
"115","K2011-01466","28430262000000000",2012-08-01,16408,"2540","MONTGALL","AVE","2540   MONTGALL AVE","Kansas City","Missouri",-94.55154046,39.0792123,"Yes"
"116","K2011-01467","28430292300000000",2012-08-01,16679,"2526","AGNES","AVE","2526   AGNES AVE","Kansas City","Missouri",-94.54803263,39.07952118,"Yes"
"117","K2011-01484","28430390600000000",2012-08-01,16514,"2613","BENTON","BLVD","2613   BENTON BLVD","Kansas City","Missouri",-94.54852178,39.07833423,"Yes"
"118","K2011-01490","28430410800000000",2012-08-01,16473,"2609","MONTGALL","AVE","2609   MONTGALL AVE","Kansas City","Missouri",-94.55093578,39.07842645,"Yes"
"119","K2011-01491","28430411100000000",2012-08-01,16470,"2621","MONTGALL","AVE","2621   MONTGALL AVE","Kansas City","Missouri",-94.55095146,39.07805019,"Yes"
"120","K2011-01494","28430422200000000",2012-08-01,16423,"2634","MONTGALL","AVE","2634   MONTGALL AVE","Kansas City","Missouri",-94.5516026,39.07763653,"Yes"
"121","K2011-01496","28430422900000000",2012-08-01,16416,"2614","MONTGALL","AVE","2614   MONTGALL AVE","Kansas City","Missouri",-94.55157512,39.07832394,"Yes"
"122","K2011-01497","28440030800000000",2012-08-01,17065,"2311","MERSINGTON","AVE","2311   MERSINGTON AVE","Kansas City","Missouri",-94.53683029,39.08334174,"Yes"
"123","K2011-01498","28440030900000000",2012-08-01,17066,"2315","MERSINGTON","AVE","2315   MERSINGTON AVE","Kansas City","Missouri",-94.53683811,39.08317078,"Yes"
"124","K2011-01500","28440050800000000",2012-08-01,17161,"2311","MONROE","AVE","2311   MONROE AVE","Kansas City","Missouri",-94.53914305,39.08338605,"Yes"
"125","K2011-01501","28440050900000000",2012-08-01,17160,"2315","MONROE","AVE","2315   MONROE AVE","Kansas City","Missouri",-94.53914797,39.08328119,"Yes"
"126","K2011-01502","28440051000000000",2012-08-01,17159,"2319","MONROE","AVE","2319   MONROE AVE","Kansas City","Missouri",-94.53915212,39.08319325,"Yes"
"127","K2011-01512","28440182200000000",2012-08-01,17200,"2448","ASKEW","AVE","2448   ASKEW AVE","Kansas City","Missouri",-94.54112295,39.08094715,"Yes"
"128","K2011-01516","28440210400000000",2012-08-01,17430,"3509","25TH","ST","3509  E 25TH ST","Kansas City","Missouri",-94.54134543,39.08012009,"Yes"
"129","K2011-01533","28440341200000000",2012-08-01,17389,"2623","BALES","AVE","2623   BALES AVE","Kansas City","Missouri",-94.54178793,39.07759506,"Yes"
"130","K2011-01536","28440350300000000",2012-08-01,17507,"2605","INDIANA","AVE","2605   INDIANA AVE","Kansas City","Missouri",-94.54288492,39.07832713,"Yes"
"131","K2011-01541","28510101100000000",2012-08-01,17890,"2035","QUINCY","AVE","2035   QUINCY AVE","Kansas City","Missouri",-94.52293597,39.08575135,"Yes"
"132","K2011-01542","28510122900000000",2012-08-01,17802,"2220","QUINCY","AVE","2220   QUINCY AVE","Kansas City","Missouri",-94.52362476,39.08442399,"Yes"
"133","K2011-01552","28510163000000000",2012-08-01,18005,"2220","DRURY","AVE","2220   DRURY AVE","Kansas City","Missouri",-94.51902399,39.08425979,"Yes"
"134","K2011-01561","28520040400000000",2012-08-01,18275,"1701","ELMWOOD","AVE","1701   ELMWOOD AVE","Kansas City","Missouri",-94.52872407,39.09062956,"Yes"
"135","K2011-01562","28520060300000000",2012-08-01,18403,"4409","17TH","ST","4409  E 17TH ST","Kansas City","Missouri",-94.53076896,39.09068441,"Yes"
"136","K2011-01563","28520060700000000",2012-08-01,18407,"1707","KENSINGTON","AVE","1707   KENSINGTON AVE","Kansas City","Missouri",-94.53090685,39.09047007,"Yes"
"137","K2011-01567","28520202000000000",2012-08-01,18104,"1906","POPLAR","AVE","1906   POPLAR AVE","Kansas City","Missouri",-94.52519018,39.0882045,"Yes"
"138","K2011-01568","28520232900000000",2012-08-01,18299,"4604","20TH","ST","4604  E 20TH ST","Kansas City","Missouri",-94.52895409,39.08735315,"Yes"
"139","K2011-01570","28520260400000000",2012-08-01,18366,"4303","19TH","ST","4303  E 19TH ST","Kansas City","Missouri",-94.5321745,39.08849236,"Yes"
"140","K2011-01571","28520280500000000",2012-08-01,18679,"2001","JACKSON","AVE","2001   JACKSON AVE","Kansas City","Missouri",-94.53339346,39.08714915,"Yes"
"141","K2011-01572","28520280600000000",2012-08-01,18678,"2007","JACKSON","AVE","2007   JACKSON AVE","Kansas City","Missouri",-94.53325375,39.08701095,"Yes"
"142","K2011-01580","28520313300000000",2012-08-01,18562,"2012","ELMWOOD","AVE","2012   ELMWOOD AVE","Kansas City","Missouri",-94.52962719,39.08679446,"Yes"
"143","K2011-01581","28520340200000000",2012-08-01,18834,"4815","20TH","ST","4815  E 20TH ST","Kansas City","Missouri",-94.52676348,39.08690619,"Yes"
"144","K2011-01583","28520350800000000",2012-08-01,18826,"2023","CHELSEA","AVE","2023   CHELSEA AVE","Kansas City","Missouri",-94.5261578,39.08625038,"Yes"
"145","K2011-01585","28520360200000000",2012-08-01,18713,"4937","20TH","ST","4937  E 20TH ST","Kansas City","Missouri",-94.52466718,39.0868398,"Yes"
"146","K2011-01588","28520380800000000",2012-08-01,18813,"2223","CHELSEA","AVE","2223   CHELSEA AVE","Kansas City","Missouri",-94.52624302,39.08444884,"Yes"
"147","K2011-01596","28530040800000000",2012-08-01,19067,"2327","LAWN","AVE","2327   LAWN AVE","Kansas City","Missouri",-94.52832862,39.08276601,"Yes"
"148","K2011-01597","28530050100000000",2012-08-01,19074,"2300","LAWN","AVE","2300   LAWN AVE","Kansas City","Missouri",-94.52886921,39.08344012,"Yes"
"149","K2011-01601","28530081800000000",2012-08-01,19310,"4316","24TH","ST","4316  E 24TH ST","Kansas City","Missouri",-94.531844,39.08245413,"Yes"
"150","K2011-01602","28530082100000000",2012-08-01,19313,"2324","KENSINGTON","AVE","2324   KENSINGTON AVE","Kansas City","Missouri",-94.53198675,39.08290561,"Yes"
"151","K2011-01603","28530090700000000",2012-08-01,19283,"2317","JACKSON","AVE","2317   JACKSON AVE","Kansas City","Missouri",-94.53346197,39.08312216,"Yes"
"152","K2011-01604","28530111500000000",2012-08-01,19441,"4300","25TH","ST","4300  E 25TH ST","Kansas City","Missouri",-94.53270765,39.08028911,"Yes"
"153","K2011-01606","28530113300000000",2012-08-01,19336,"2422","KENSINGTON","AVE","2422   KENSINGTON AVE","Kansas City","Missouri",-94.53205495,39.08135968,"Yes"
"154","K2011-01609","28530122100000000",2012-08-01,19422,"2458","CYPRESS","AVE","2458   CYPRESS AVE","Kansas City","Missouri",-94.53108186,39.0801363,"Yes"
"155","K2011-01610","28530123300000000",2012-08-01,19360,"2426","CYPRESS","AVE","2426   CYPRESS AVE","Kansas City","Missouri",-94.53103214,39.08114056,"Yes"
"156","K2011-01611","28530130300000000",2012-08-01,19370,"2413","CYPRESS","AVE","2413   CYPRESS AVE","Kansas City","Missouri",-94.53042285,39.08164592,"Yes"
"157","K2011-01612","28530131400000000",2012-08-01,19381,"2447","CYPRESS","AVE","2447   CYPRESS AVE","Kansas City","Missouri",-94.53047395,39.08061571,"Yes"
"158","K2011-01613","28530151800000000",2012-08-01,19150,"2439","LAWN","AVE","2439   LAWN AVE","Kansas City","Missouri",-94.52834847,39.08077246,"Yes"
"159","K2011-01616","28530155800000000",2012-08-01,19148,"2440","LISTER","AVE","2440   LISTER AVE","Kansas City","Missouri",-94.5279195,39.08066615,"Yes"
"160","K2011-01617","28530162300000000",2012-08-01,19762,"2503","LISTER","AVE","2503   LISTER AVE","Kansas City","Missouri",-94.52738667,39.07971965,"Yes"
"161","K2011-01625","28530184300000000",2012-08-01,19983,"2510","BRIGHTON","AVE","2510   BRIGHTON AVE","Kansas City","Missouri",-94.52503563,39.07921029,"Yes"
"162","K2011-01627","28530202600000000",2012-08-01,19493,"2524","ELMWOOD","AVE","2524   ELMWOOD AVE","Kansas City","Missouri",-94.53008867,39.07911625,"Yes"
"163","K2011-01630","28530241900000000",2012-08-01,19706,"2640","SPRUCE","AVE","2640   SPRUCE AVE","Kansas City","Missouri",-94.53332586,39.07673867,"Yes"
"164","K2011-01632","28530250700000000",2012-08-01,19657,"2619","SPRUCE","AVE","2619   SPRUCE AVE","Kansas City","Missouri",-94.53267764,39.07757209,"Yes"
"165","K2011-01633","28530251100000000",2012-08-01,19653,"2631","SPRUCE","AVE","2631   SPRUCE AVE","Kansas City","Missouri",-94.53269876,39.07713583,"Yes"
"166","K2011-01634","28530252300000000",2012-08-01,19640,"2628","KENSINGTON","AVE","2628   KENSINGTON AVE","Kansas City","Missouri",-94.53226241,39.0771805,"Yes"
"167","K2011-01656","28540155900000000",2012-08-01,20079,"2414","TOPPING","AVE","2414   TOPPING AVE","Kansas City","Missouri",-94.51578995,39.08029924,"Yes"
"168","K2011-01669","28610052500000000",2012-08-01,20924,"1737","CAMBRIDGE","AVE","1737   CAMBRIDGE AVE","Kansas City","Missouri",-94.50210503,39.08865269,"Yes"
